epoch,ms,label,quality,raw_rms,filt_rms,hum_pct,D_abs,T_abs,A_abs,B_abs,G_abs,D_rel,T_rel,A_rel,B_rel,G_rel,A_B_ratio,T_A_ratio
4007,4006741,Neutral,good,1331.3,3.5,0.0,3908.120,813.958,1040.472,7891.279,4332.972,0.2173,0.0453,0.0578,0.4387,0.2409,0.132,0.782
4008,4007741,Neutral,good,1331.4,3.0,0.0,2404.508,674.432,1757.190,3957.680,2356.310,0.2156,0.0605,0.1576,0.3549,0.2113,0.444,0.384
4009,4008741,Neutral,good,1332.0,3.4,0.0,805.591,4866.282,3342.236,6949.582,1476.973,0.0462,0.2790,0.1916,0.3985,0.0847,0.481,1.456
4010,4009741,Neutral,good,1331.7,3.7,0.0,1760.050,9009.849,5050.867,6646.693,1921.161,0.0722,0.3694,0.2071,0.2725,0.0788,0.760,1.784
4011,4010741,Neutral,good,1331.2,3.5,0.0,444.931,1132.256,328.062,2502.533,1866.304,0.0709,0.1805,0.0523,0.3989,0.2975,0.131,3.451
4012,4011741,Neutral,good,1331.3,3.8,0.0,1267.588,408.495,1348.484,6443.404,1555.220,0.1150,0.0371,0.1223,0.5845,0.1411,0.209,0.303
4013,4012741,Neutral,good,1331.6,3.2,0.0,1093.744,914.268,1589.617,3462.961,2571.139,0.1136,0.0949,0.1650,0.3595,0.2669,0.459,0.575
4014,4013741,Neutral,good,1331.4,3.7,0.0,6967.413,4378.041,5218.949,3260.203,1705.420,0.3236,0.2033,0.2424,0.1514,0.0792,1.601,0.839
4015,4014741,Neutral,good,1330.8,3.1,0.0,2336.481,6932.157,4385.556,2007.549,6144.942,0.1071,0.3179,0.2011,0.0921,0.2818,2.185,1.581
4016,4015741,Neutral,good,1331.0,3.6,0.0,5256.754,3235.300,2786.021,5191.458,1139.304,0.2985,0.1837,0.1582,0.2948,0.0647,0.537,1.161
4017,4016741,Neutral,good,1330.9,3.1,0.0,9791.921,9004.404,478.075,3559.802,1013.262,0.4106,0.3776,0.0200,0.1493,0.0425,0.134,18.835
4018,4017741,Neutral,good,1331.3,3.6,0.0,573.317,2056.130,2437.905,3236.455,7542.445,0.0362,0.1298,0.1538,0.2042,0.4760,0.753,0.843
4019,4018740,Neutral,good,1331.6,3.6,0.0,1690.591,2298.927,7529.315,6293.957,977.731,0.0900,0.1223,0.4007,0.3350,0.0520,1.196,0.305
4020,4019740,Neutral,good,1331.5,3.5,0.0,1345.758,1985.129,2796.149,3533.001,1133.828,0.1247,0.1839,0.2590,0.3273,0.1050,0.791,0.710
4021,4020740,Neutral,good,1331.1,3.6,0.0,8872.639,2753.883,3746.748,11954.516,1105.675,0.3120,0.0969,0.1318,0.4204,0.0389,0.313,0.735
4022,4021740,Neutral,good,1331.0,3.6,0.0,4382.367,1314.935,2667.985,5788.646,1520.658,0.2796,0.0839,0.1702,0.3693,0.0970,0.461,0.493
4023,4022740,Neutral,good,1332.0,3.4,0.0,7179.941,525.921,2147.748,9995.617,5083.328,0.2880,0.0211,0.0861,0.4009,0.2039,0.215,0.245
4024,4023740,Neutral,good,1330.6,3.2,0.0,3472.396,2703.944,1750.797,5046.112,1295.518,0.2434,0.1895,0.1227,0.3536,0.0908,0.347,1.544
4025,4024740,Neutral,good,1331.0,2.7,0.0,3132.528,4124.834,2198.745,1701.949,881.052,0.2602,0.3426,0.1826,0.1414,0.0732,1.292,1.876
4026,4025740,Neutral,good,1330.9,3.0,0.0,4016.229,2831.758,1225.458,2300.766,724.496,0.3619,0.2551,0.1104,0.2073,0.0653,0.533,2.311
4027,4026740,Neutral,good,1331.7,3.2,0.0,24565.541,9318.470,7932.400,10260.743,1825.952,0.4557,0.1729,0.1472,0.1904,0.0339,0.773,1.175
4028,4027740,Neutral,good,1330.3,4.0,0.0,6351.675,15418.205,6834.565,7623.558,3212.459,0.1610,0.3909,0.1733,0.1933,0.0815,0.897,2.256
4029,4028740,Neutral,good,1328.5,3.5,0.0,3474.778,215.641,1339.892,4358.036,2207.501,0.2997,0.0186,0.1155,0.3758,0.1904,0.307,0.161
4030,4029740,Neutral,good,1328.7,3.3,0.0,3973.350,2891.360,4718.292,1971.087,1783.823,0.2591,0.1885,0.3076,0.1285,0.1163,2.394,0.613
4031,4030740,Neutral,good,1328.2,3.9,0.0,8752.916,2420.673,1054.213,9287.319,1181.773,0.3856,0.1067,0.0464,0.4092,0.0521,0.114,2.296
4032,4031740,Neutral,good,1329.2,3.1,0.0,3712.723,2577.439,1044.955,3723.877,3267.155,0.2592,0.1799,0.0729,0.2599,0.2281,0.281,2.467
4033,4032740,Neutral,good,1329.1,3.3,0.0,3628.817,2085.257,3305.062,3291.573,11803.058,0.1505,0.0865,0.1371,0.1365,0.4895,1.004,0.631
4034,4033740,Neutral,good,1330.7,3.3,0.0,14492.530,9124.428,3274.490,2434.838,1006.517,0.4778,0.3008,0.1080,0.0803,0.0332,1.345,2.787
4035,4034740,Neutral,good,1330.5,2.8,0.0,2046.174,2408.774,1106.954,1701.204,1227.155,0.2410,0.2837,0.1304,0.2004,0.1445,0.651,2.176
4036,4035739,Neutral,good,1331.7,3.9,0.0,2071.667,1327.253,4765.766,22374.469,1689.021,0.0643,0.0412,0.1479,0.6943,0.0524,0.213,0.278
4037,4036739,Neutral,good,1331.3,3.6,0.0,5253.831,3862.124,3486.293,4700.286,1061.554,0.2861,0.2103,0.1898,0.2559,0.0578,0.742,1.108
4038,4037739,Neutral,good,1330.6,3.5,0.0,3743.155,2951.656,1332.942,998.617,1389.728,0.3594,0.2834,0.1280,0.0959,0.1334,1.335,2.214
4039,4038739,Neutral,good,1330.0,3.5,0.0,5479.974,4525.993,396.687,3266.936,1101.149,0.3710,0.3064,0.0269,0.2212,0.0745,0.121,11.409
4040,4039739,Neutral,good,1331.5,3.4,0.0,3012.482,618.280,509.618,3323.732,2049.844,0.3166,0.0650,0.0536,0.3494,0.2155,0.153,1.213
4041,4040739,Neutral,good,1331.6,3.9,0.0,6083.183,10015.769,3030.628,16378.992,1012.592,0.1666,0.2742,0.0830,0.4485,0.0277,0.185,3.305
4042,4041739,Neutral,good,1331.4,3.3,0.0,1525.615,1293.672,960.785,739.288,1016.681,0.2756,0.2337,0.1736,0.1335,0.1836,1.300,1.346
4043,4042739,Neutral,good,1330.1,3.4,0.0,14060.806,9036.741,5551.516,5768.346,2066.304,0.3854,0.2477,0.1522,0.1581,0.0566,0.962,1.628
4044,4043739,Neutral,good,1329.9,3.1,0.0,2150.822,2225.542,906.158,1331.542,3430.614,0.2141,0.2216,0.0902,0.1326,0.3415,0.681,2.456
4045,4044739,Neutral,good,1329.9,3.1,0.0,1937.082,3862.297,2247.557,6879.575,1110.962,0.1208,0.2408,0.1401,0.4290,0.0693,0.327,1.718
4046,4045739,Neutral,good,1330.0,3.3,0.0,1488.141,1265.272,1359.074,7582.101,3523.157,0.0978,0.0831,0.0893,0.4982,0.2315,0.179,0.931
4047,4046739,Neutral,good,1330.0,3.6,0.0,1677.976,1887.756,5100.072,4073.197,2506.684,0.1101,0.1238,0.3345,0.2672,0.1644,1.252,0.370
4048,4047739,Neutral,good,1329.8,3.2,0.0,1901.794,3776.606,2414.273,4662.470,5123.000,0.1064,0.2112,0.1350,0.2608,0.2866,0.518,1.564
4049,4048739,Neutral,good,1329.6,3.4,0.0,2284.180,5189.188,2084.135,3803.042,1463.493,0.1541,0.3501,0.1406,0.2565,0.0987,0.548,2.490
4050,4049739,Neutral,good,1327.8,3.0,0.0,5941.590,1359.783,544.986,1323.803,1398.840,0.5622,0.1287,0.0516,0.1253,0.1324,0.412,2.495
4051,4050739,Neutral,good,1327.5,3.0,0.0,1695.922,1619.701,6094.174,8603.443,4378.333,0.0757,0.0723,0.2722,0.3842,0.1955,0.708,0.266
4052,4051738,Neutral,good,1327.4,3.7,0.0,17015.234,17511.928,1840.979,4024.439,470.786,0.4164,0.4285,0.0451,0.0985,0.0115,0.457,9.512
4053,4052738,Neutral,good,1328.3,3.0,0.0,2046.565,8996.556,10456.220,2967.853,1130.230,0.0800,0.3515,0.4085,0.1159,0.0442,3.523,0.860
4054,4053738,Neutral,good,1329.5,3.5,0.0,8748.192,9477.092,1907.428,2284.253,1862.745,0.3603,0.3903,0.0786,0.0941,0.0767,0.835,4.969
4055,4054738,Neutral,good,1329.6,2.6,0.0,590.686,1041.418,1379.092,3409.261,305.017,0.0878,0.1548,0.2051,0.5069,0.0454,0.405,0.755
4056,4055738,Neutral,good,1329.7,3.7,0.0,6469.302,2150.784,894.496,4797.413,2916.733,0.3755,0.1248,0.0519,0.2785,0.1693,0.186,2.404
4057,4056738,Neutral,good,1329.7,3.3,0.0,3667.677,857.633,1604.034,7736.231,1743.950,0.2350,0.0549,0.1028,0.4956,0.1117,0.207,0.535
4058,4057738,Neutral,good,1330.6,4.3,0.0,418.918,7906.000,6450.166,5512.460,1077.076,0.0196,0.3701,0.3019,0.2580,0.0504,1.170,1.226
4059,4058738,Neutral,good,1329.6,3.6,0.0,2062.139,2084.985,564.538,3305.847,2430.036,0.1974,0.1996,0.0540,0.3164,0.2326,0.171,3.693
4060,4059738,Neutral,good,1330.6,3.1,0.0,7464.739,1741.203,634.267,1356.979,142.250,0.6583,0.1536,0.0559,0.1197,0.0125,0.467,2.745
4061,4060738,Neutral,good,1329.9,2.8,0.0,6478.718,4890.337,5423.659,5828.143,1924.610,0.2639,0.1992,0.2210,0.2374,0.0784,0.931,0.902
4062,4061738,Neutral,good,1329.7,3.2,0.0,1772.221,5049.188,2374.253,1593.660,1269.300,0.1470,0.4187,0.1969,0.1322,0.1053,1.490,2.127
4063,4062738,Neutral,good,1329.7,3.4,0.0,4567.802,1662.694,1741.780,3996.723,4105.188,0.2842,0.1034,0.1084,0.2486,0.2554,0.436,0.955
4064,4063738,Neutral,good,1330.1,2.7,0.0,2135.966,4000.308,3599.087,842.753,2377.097,0.1649,0.3088,0.2778,0.0651,0.1835,4.271,1.111
4065,4064738,Neutral,good,1329.9,3.3,0.0,4773.168,3078.306,2221.261,7834.771,1697.181,0.2435,0.1570,0.1133,0.3996,0.0866,0.284,1.386
4066,4065738,Neutral,good,1330.0,2.7,0.0,617.496,3664.315,3356.440,3401.066,1683.222,0.0485,0.2880,0.2638,0.2673,0.1323,0.987,1.092
4067,4066737,Neutral,good,1329.4,2.9,0.0,1349.564,3709.338,2192.392,2584.658,2370.865,0.1106,0.3039,0.1796,0.2117,0.1942,0.848,1.692
4068,4067737,Neutral,good,1330.1,2.8,0.0,1162.040,989.327,893.332,4960.848,3737.505,0.0990,0.0842,0.0761,0.4224,0.3183,0.180,1.107
4069,4068737,Neutral,good,1328.9,4.2,0.0,41622.227,7067.008,2887.292,4346.743,1478.147,0.7251,0.1231,0.0503,0.0757,0.0258,0.664,2.448
4070,4069737,Neutral,good,1330.8,3.8,0.0,7849.659,4609.601,7114.163,6111.111,2018.981,0.2833,0.1664,0.2568,0.2206,0.0729,1.164,0.648
4071,4070737,Neutral,good,1330.6,3.8,0.0,31723.520,1156.758,1222.521,4612.282,3362.710,0.7539,0.0275,0.0291,0.1096,0.0799,0.265,0.946
4072,4071737,Neutral,good,1330.0,3.4,0.0,16967.393,1603.298,407.108,2105.753,1639.186,0.7467,0.0706,0.0179,0.0927,0.0721,0.193,3.938
4073,4072737,Neutral,good,1330.6,2.7,0.0,2082.780,3754.767,1339.876,3133.427,3062.501,0.1557,0.2808,0.1002,0.2343,0.2290,0.428,2.802
4074,4073737,Neutral,good,1329.7,3.5,0.0,2619.088,4912.315,2865.366,2855.125,2289.891,0.1685,0.3161,0.1844,0.1837,0.1473,1.004,1.714
4075,4074737,Neutral,good,1329.7,3.6,0.0,3835.662,3323.891,2124.141,4392.070,1037.398,0.2607,0.2259,0.1444,0.2985,0.0705,0.484,1.565
4076,4075737,Neutral,good,1330.1,3.3,0.0,573.525,3911.917,5266.942,8740.924,1429.748,0.0288,0.1964,0.2644,0.4387,0.0718,0.603,0.743
